Month,Ridership,Amtrak Ridership Number of Passengers ( in thousands)
01/91,1708.917,
02/91,1620.586,
03/91,1972.715,
04/91,1811.665,
05/91,1974.964,
06/91,1862.356,
07/91,1939.860,
08/91,2013.264,
09/91,1595.657,
10/91,1724.924,
11/91,1675.667,
12/91,1813.863,
01/92,1614.827,
02/92,1557.088,
03/92,1891.223,
04/92,1955.981,
05/92,1884.714,
06/92,1623.042,
07/92,1903.309,
08/92,1996.712,
09/92,1703.897,
10/92,1810.000,
11/92,1861.601,
12/92,1875.122,
01/93,1705.259,
02/93,1618.535,
03/93,1836.709,
04/93,1957.043,
05/93,1917.185,
06/93,1882.398,
07/93,1933.009,
08/93,1996.167,
09/93,1672.841,
10/93,1752.827,
11/93,1720.377,
12/93,1734.292,
01/94,1563.365,
02/94,1573.959,
03/94,1902.639,
04/94,1833.888,
05/94,1831.049,
06/94,1775.755,
07/94,1867.508,
08/94,1906.608,
09/94,1685.632,
10/94,1778.546,
11/94,1775.995,
12/94,1783.350,
01/95,1548.415,
02/95,1496.925,
03/95,1798.316,
04/95,1732.895,
05/95,1772.345,
06/95,1761.207,
07/95,1791.655,
08/95,1874.820,
09/95,1571.309,
10/95,1646.948,
11/95,1672.631,
12/95,1656.845,
01/96,1381.758,
02/96,1360.852,
03/96,1558.575,
04/96,1608.420,
05/96,1696.696,
06/96,1693.183,
07/96,1835.516,
08/96,1942.573,
09/96,1551.401,
10/96,1686.508,
11/96,1576.204,
12/96,1700.433,
01/97,1396.588,
02/97,1371.690,
03/97,1707.522,
04/97,1654.604,
05/97,1762.903,
06/97,1775.800,
07/97,1934.219,
08/97,2008.055,
09/97,1615.924,
10/97,1773.910,
11/97,1732.368,
12/97,1796.626,
01/98,1570.330,
02/98,1412.691,
03/98,1754.641,
04/98,1824.932,
05/98,1843.289,
06/98,1825.964,
07/98,1968.172,
08/98,1921.645,
09/98,1669.597,
10/98,1791.474,
11/98,1816.714,
12/98,1846.754,
01/99,1599.427,
02/99,1548.804,
03/99,1832.333,
04/99,1839.720,
05/99,1846.498,
06/99,1864.852,
07/99,1965.743,
08/99,1949.002,
09/99,1607.373,
10/99,1803.664,
11/99,1850.309,
12/99,1836.435,
01/00,1541.660,
02/00,1616.928,
03/00,1919.538,
04/00,1971.493,
05/00,1992.301,
06/00,2009.763,
07/00,2053.996,
08/00,2097.471,
09/00,1823.706,
10/00,1976.997,
11/00,1981.408,
12/00,2000.153,
01/01,1683.148,
02/01,1663.404,
03/01,2007.928,
04/01,2023.792,
05/01,2047.008,
06/01,2072.913,
07/01,2126.717,
08/01,2202.638,
09/01,1707.693,
10/01,1950.716,
11/01,1973.614,
12/01,1984.729,
01/02,1759.629,
02/02,1770.595,
03/02,2019.912,
04/02,2048.398,
05/02,2068.763,
06/02,1994.267,
07/02,2075.258,
08/02,2026.560,
09/02,1734.155,
10/02,1916.771,
11/02,1858.345,
12/02,1996.352,
01/03,1778.033,
02/03,1749.489,
03/03,2066.466,
04/03,2098.899,
05/03,2104.911,
06/03,2129.671,
07/03,2223.349,
08/03,2174.360,
09/03,1931.406,
10/03,2121.470,
11/03,2076.054,
12/03,2140.677,
01/04,1831.508,
02/04,1838.006,
03/04,2132.446,
